,Ano,Mes,Dia,Antena,Latitud,Longitud,Temp_max_emas,Temp_min_emas,Temp_max_merra,Temp_min_merra,Temp_mean_merra,Temp_mean_emas
0,2019,03,01,1003,21.88,-102.72,28.54462,8.47449,28.54462,8.47449,17.70834,17.70834
1,2019,03,02,1003,21.88,-102.72,28.94238,8.73407,28.94238,8.73407,18.08676,18.08676
2,2019,03,01,1005,21.78,-102.37,28.54199,8.86298,28.54199,8.86298,17.86432,17.86432
3,2019,03,02,1005,21.78,-102.37,28.84955,8.93924,28.84955,8.93924,18.42719,18.42719
4,2019,03,01,1009,21.96,-102.7,28.41757,8.24878,28.41757,8.24878,17.52078,17.52078
5,2019,03,02,1009,21.96,-102.7,28.78381,8.55542,28.78381,8.55542,17.89435,17.89435
6,2019,03,01,1011,21.86,-102.66,28.53052,8.47824,28.53052,8.47824,17.69769,17.69769
7,2019,03,02,1011,21.86,-102.66,28.87698,8.65741,28.87698,8.65741,18.10492,18.10492
8,2019,03,01,1012,21.79,-102.8,28.84561,8.88815,28.84561,8.88815,18.09189,18.09189
9,2019,03,02,1012,21.79,-102.8,29.3623,9.12524,29.3623,9.12524,18.42825,18.42825
10,2019,03,01,1020,22.0,-102.67,28.36148,8.14023,28.36148,8.14023,17.43115,17.43115
11,2019,03,02,1020,22.0,-102.67,28.69684,8.43924,28.69684,8.43924,17.80762,17.80762
12,2019,03,01,1023,21.84,-102.71,28.61191,8.59882,28.61191,8.59882,17.80811,17.80811
13,2019,03,02,1023,21.84,-102.71,29.00726,8.79996,29.00726,8.79996,18.19891,18.19891
14,2019,03,01,1027,21.88,-102.46,28.41763,8.36111,28.41763,8.36111,17.55719,17.55719
15,2019,03,02,1027,21.88,-102.46,28.69073,8.50778,28.69073,8.50778,18.01587,18.01587
16,2019,03,01,1057,21.87,-102.47,28.43909,8.39371,28.43909,8.39371,17.58813,17.58813
17,2019,03,02,1057,21.87,-102.47,28.71497,8.52615,28.71497,8.52615,18.04492,18.04492
18,2019,03,01,1077,21.78,-102.52,28.64551,8.77423,28.64551,8.77423,17.91016,17.91016
19,2019,03,02,1077,21.78,-102.52,28.95782,8.79303,28.95782,8.79303,18.37531,18.37531
20,2019,03,01,1080,21.84,-102.52,28.52032,8.5015,28.52032,8.5015,17.69934,17.69934
21,2019,03,02,1080,21.84,-102.52,28.8136,8.59256,28.8136,8.59256,18.14026,18.14026
22,2019,03,01,2013,30.67,-115.13,27.14795,11.46021,27.14795,11.46021,18.06796,18.06796
23,2019,03,02,2013,30.67,-115.13,24.70523,13.1203,24.70523,13.1203,17.54584,17.54584
24,2019,03,01,2044,28.74,-113.75,27.12067,10.89749,27.12067,10.89749,18.25781,18.25781
25,2019,03,02,2044,28.74,-113.75,27.07632,13.40192,27.07632,13.40192,18.14728,18.14728
26,2019,03,01,2059,31.08,-115.29,25.97168,9.89774,25.97168,9.89774,16.55267,16.55267
27,2019,03,02,2059,31.08,-115.29,22.68192,11.91107,22.68192,11.91107,16.16339,16.16339
28,2019,03,01,2066,32.0,-115.95,24.89389,9.09076,24.89389,9.09076,14.97003,14.97003
29,2019,03,02,2066,32.0,-115.95,19.3938,10.00497,19.3938,10.00497,14.05219,14.05219
